gene_id,gene,,,
ENSDARG00000000001,slc35a5,,,
ENSDARG00000000151,thraa,,,
ENSDARG00000000183,ptpn4b,,,
ENSDARG00000000324,DCAF8,,,
ENSDARG00000000423,si:ch73-314g15.3,,,
ENSDARG00000000442,slc39a13,,,
ENSDARG00000000529,ofd1,,,
ENSDARG00000000551,slc1a4,,,
ENSDARG00000000568,ell,,,
ENSDARG00000000588,grasp,,,
ENSDARG00000000631,ptpn4a,,,
ENSDARG00000000730,slc6a13,,,
ENSDARG00000000747,lcmt2,,,
ENSDARG00000000760,znf511,,,
ENSDARG00000000796,nr4a1,,,
ENSDARG00000000837,snx9a,,,
ENSDARG00000000906,skap2,,,
ENSDARG00000000972,pcl,,,
ENSDARG00000001169,hsd17b8,,,
ENSDARG00000001452,adam8a,,,
ENSDARG00000001710,flot1a,,,
ENSDARG00000001733,gulp1a,,,
ENSDARG00000001734,fkbp8,,,
ENSDARG00000001767,slc29a2,,,
ENSDARG00000001788,atp5o,,,
ENSDARG00000001804,zgc:112148,,,
ENSDARG00000001880,stx3a,,,
ENSDARG00000001898,manea,,,
ENSDARG00000001930,klhl15,,,
ENSDARG00000002002,LMCD1,,,
ENSDARG00000002013,grb10a,,,
ENSDARG00000002077,mnat1,,,
ENSDARG00000002127,stam,,,
ENSDARG00000002131,celf2,,,
ENSDARG00000002174,itfg2,,,
ENSDARG00000002184,igbp1,,,
ENSDARG00000002197,pygl,,,
ENSDARG00000002210,stk25a,,,
ENSDARG00000002249,tbxas1,,,
ENSDARG00000002264,mrpl41,,,
ENSDARG00000002298,ankrd22,,,
ENSDARG00000002304,gins2,,,
ENSDARG00000002330,lhx8a,,,
ENSDARG00000002339,ccdc101,,,
ENSDARG00000002347,cyp11a1,,,
ENSDARG00000002365,cers5,,,
ENSDARG00000002396,cry-dash,,,
ENSDARG00000002546,rap2ip,,,
ENSDARG00000002597,pabpc1l,,,
ENSDARG00000002642,sh3gl1b,,,
ENSDARG00000002656,stxbp5a,,,
ENSDARG00000002670,tbpl2,,,
ENSDARG00000002682,tbcela,,,
ENSDARG00000002702,surf4,,,
ENSDARG00000002745,tdh,,,
ENSDARG00000002758,DEDD2,,,
ENSDARG00000002790,ap2m1a,,,
ENSDARG00000002798,cog8,,,
ENSDARG00000002826,cep57l1,,,
ENSDARG00000002830,trmt2a,,,
ENSDARG00000002880,CCDC132 (1 of 2),,,
ENSDARG00000002912,adipor1a,,,
ENSDARG00000002967,pdap1b,,,
ENSDARG00000002991,cep135,,,
ENSDARG00000002994,itpkca,,,
ENSDARG00000003027,scnm1,,,
ENSDARG00000003069,btbd7,,,
ENSDARG00000003084,spire2,,,
ENSDARG00000003175,stx5al,,,
ENSDARG00000003206,chchd6a,,,
ENSDARG00000003229,gdf9,,,
ENSDARG00000003244,gbp3,,,
ENSDARG00000003250,pik3cd,,,
ENSDARG00000003251,zbtb22b,,,
ENSDARG00000003263,pop4,,,
ENSDARG00000003270,dhps,,,
ENSDARG00000003283,zfand2a,,,
ENSDARG00000003311,pank2,,,
ENSDARG00000003320,fam91a1,,,
