stable_id	display_label
ENSDART00000049194	NM_001144049.1
ENSDART00000098473	NM_001128729.1
ENSDART00000025198	NM_001013566.2
ENSDART00000142665	NM_001006012.1
ENSDART00000057049	NM_001003727.2
ENSDART00000081253	NM_001100088.1
ENSDART00000076835	NM_001204133.1
ENSDART00000132787	NM_001128293.1
ENSDART00000105179	NM_001080691.1
ENSDART00000129066	NM_001301358.2
ENSDART00000121449	NM_001110167.1
ENSDART00000024058	NM_001042722.1
ENSDART00000024633	NM_200880.1
ENSDART00000059140	NM_200859.1
ENSDART00000098567	NM_001079997.1
ENSDART00000100757	NM_001105130.2
ENSDART00000140336	NM_199711.1
ENSDART00000088624	NM_001312676.1
ENSDART00000124471	NM_001312677.1
ENSDART00000047461	NM_001003570.1
ENSDART00000052838	NM_001017750.1
ENSDART00000058745	NM_001100139.1
ENSDART00000102552	NM_200216.2
ENSDART00000029699	NM_001122747.2
ENSDART00000129916	NM_001287082.1
ENSDART00000121503	NM_001171590.1
ENSDART00000153839	NM_001324549.1
ENSDART00000173716	NM_001079984.1
ENSDART00000134790	NM_001160035.1
ENSDART00000103159	NM_001013528.3
ENSDART00000143090	NM_001077796.1
ENSDART00000042297	NM_200931.1
ENSDART00000151135	NM_001328257.1
ENSDART00000138276	NM_001145618.1
ENSDART00000033118	NM_001194989.1
ENSDART00000103155	NM_001044823.1
ENSDART00000067434	NM_001004648.1
ENSDART00000102572	NM_173226.1
ENSDART00000043069	NM_001082827.2
ENSDART00000167182	NM_200993.1
ENSDART00000011876	NM_001118894.1
ENSDART00000164611	NM_001100068.1
ENSDART00000128073	NM_001002376.1
ENSDART00000171265	NM_001326491.1
ENSDART00000139293	NM_001006103.1
ENSDART00000052499	NM_001006103.1
ENSDART00000057291	NM_214681.1
ENSDART00000135606	NM_001195247.1
ENSDART00000138236	NM_001303053.1
ENSDART00000103151	NM_001044714.2
ENSDART00000122668	NM_001195246.1
ENSDART00000052098	NM_001128713.1
ENSDART00000012232	NM_001002351.1
ENSDART00000007640	NM_001305542.1
ENSDART00000158226	NM_001089416.1
ENSDART00000042189	NM_200996.1
ENSDART00000010119	NM_001002371.1
ENSDART00000084354	NM_001167662.1
ENSDART00000138703	NM_001289879.1
ENSDART00000077189	NM_199754.1
ENSDART00000077887	NM_207077.1
ENSDART00000021011	NM_213474.1
ENSDART00000112211	NM_001098253.1
ENSDART00000080882	NM_200102.2
ENSDART00000058892	NM_001017644.1
ENSDART00000151237	NM_001110456.1
ENSDART00000022684	NM_001033106.1
ENSDART00000039829	NM_001017719.1
ENSDART00000043812	NM_001167956.2
ENSDART00000060150	NM_131335.1
ENSDART00000129554	NM_194366.1
ENSDART00000028016	NM_201059.2
ENSDART00000030211	NM_213110.1
ENSDART00000101992	NM_001039993.1
ENSDART00000057588	NM_001007171.1
ENSDART00000149357	NM_001076663.1
ENSDART00000050445	NM_001014371.1
ENSDART00000002714	NM_001002635.1
ENSDART00000002624	NM_212766.2
ENSDART00000067843	NM_001089426.1
ENSDART00000053870	NM_001005921.1
ENSDART00000157113	NM_001326427.1
ENSDART00000110553	NM_212766.2
ENSDART00000137572	NM_001002398.2
ENSDART00000153702	NM_001326426.1
ENSDART00000090332	NM_001083831.1
ENSDART00000098682	NM_001110461.1
ENSDART00000169410	NM_001037579.1
ENSDART00000020970	NM_212886.1
ENSDART00000018255	NM_213236.1
ENSDART00000100744	NM_199594.1
ENSDART00000045292	NM_213234.1
ENSDART00000028856	NM_131900.1
ENSDART00000010199	NM_001020763.1
ENSDART00000164512	NM_001128566.1
ENSDART00000077436	NM_001080022.2
ENSDART00000099131	NM_001316326.1
ENSDART00000147912	NM_001128235.1
ENSDART00000067433	NM_200342.1
ENSDART00000018862	NM_170764.1
ENSDART00000046934	NM_001098746.1
ENSDART00000055611	NM_001327901.1
ENSDART00000089506	NM_001077562.1
ENSDART00000141596	NM_001002685.1
ENSDART00000109634	NM_001327804.1
ENSDART00000109634	NM_001327805.1
ENSDART00000097626	NM_001082942.1
ENSDART00000066386	NM_001013509.1
ENSDART00000013434	NM_001007291.1
ENSDART00000112670	NM_001083556.1
ENSDART00000105692	NM_001346276.1
ENSDART00000132663	NM_001113648.1
ENSDART00000161648	NM_200132.2
ENSDART00000075646	NM_001040352.1
ENSDART00000132158	NM_001013452.1
ENSDART00000153929	NM_001035262.1
ENSDART00000085031	NM_001110105.2
ENSDART00000093149	NM_001127335.1
ENSDART00000105459	NM_001128684.1
ENSDART00000128149	NM_001002203.1
ENSDART00000036235	NM_001017800.2
ENSDART00000060745	NM_001037113.1
ENSDART00000060345	NM_205651.1
ENSDART00000039498	NM_200286.1
ENSDART00000131876	NM_175042.2
ENSDART00000066053	NM_194373.1
ENSDART00000065115	NM_001040298.1
ENSDART00000043499	NM_213384.1
ENSDART00000018432	NM_213635.2
ENSDART00000011229	NM_001002505.1
ENSDART00000032154	NM_001128405.1
ENSDART00000059352	NM_001045352.2
ENSDART00000146260	NM_001105128.2
ENSDART00000100696	NM_001100090.1
ENSDART00000114536	NM_001109872.2
ENSDART00000024135	NM_001024422.1
ENSDART00000137705	NM_001080605.1
ENSDART00000067288	NM_001033744.1
ENSDART00000034004	NM_212973.2
ENSDART00000040328	NM_201073.1
ENSDART00000113643	NM_205724.1
ENSDART00000053924	NM_200315.1
ENSDART00000098705	NM_001079853.1
ENSDART00000051135	NM_200056.2
ENSDART00000048655	NM_213064.2
ENSDART00000172261	NM_205622.2
ENSDART00000067256	NM_001045067.1
ENSDART00000163068	NM_213225.1
ENSDART00000104722	NM_001017569.1
ENSDART00000151109	NM_001077345.3
ENSDART00000090731	NM_001083004.2
ENSDART00000011320	NM_001327756.1
ENSDART00000131613	NM_001291356.1
ENSDART00000023831	NM_131788.1
ENSDART00000143698	NM_212958.1
ENSDART00000146234	NM_001145619.1
ENSDART00000151169	NM_001201443.1
ENSDART00000002318	NM_001008732.1
ENSDART00000130548	NM_001003738.1
ENSDART00000140874	NM_178133.3
ENSDART00000128050	NM_001256628.1
ENSDART00000127597	NM_130933.1
ENSDART00000085252	NM_001004615.1
ENSDART00000127291	NM_001045206.2
ENSDART00000006489	NM_200649.1
ENSDART00000111858	NM_001327819.1
ENSDART00000006386	NM_131668.3
ENSDART00000075400	NM_213502.1
ENSDART00000016128	NM_001003776.1
ENSDART00000124647	NM_001105679.1
ENSDART00000109151	NM_001083849.1
ENSDART00000041353	NM_001105679.1
ENSDART00000006061	NM_205683.1
ENSDART00000109282	NM_001326527.1
ENSDART00000167974	NM_001113578.1
ENSDART00000134635	NM_001145559.1
ENSDART00000059261	NM_001128265.1
ENSDART00000089108	NM_001159832.1
ENSDART00000102520	NM_001017859.1
ENSDART00000104715	NM_001128712.1
ENSDART00000073746	NM_001244778.1
ENSDART00000076423	NM_001098618.1
ENSDART00000009172	NM_001327808.1
ENSDART00000019003	NM_205754.1
ENSDART00000043455	NM_175083.2
