tracking ID,0h,2h,4h,6h,8h,gene length,gene group,0h overlap,0h #ofCLIPpeak,0h #ofm6Apeak,2h overlap,2h #ofCLIPpeak2,2h #ofm6Apeak3,4h overlap,4h #ofCLIPpeak4,4h #ofm6Apeak5,6h overlap,6h #ofCLIPpeak6,6h #ofm6Apeak7,8h overlap,8h #ofCLIPpeak8,8h #ofm6Apeak9,wild-type 0h,wild-type 2h,wild-type 4h,wild-type 6h,wild-type 8h,mKO Y2-/- 0h,mKO Y2-/- 2h,mKO Y2-/- 4h,mKO Y2-/- 6h,mKO Y2-/- 8h,wild-type 6h,wild-type 8h,wild-type 12h,wild-type 24h,mzKO Y2-/- 6h,mzKO Y2-/- 8h,mzKO Y2-/- 12h,mzKO Y2-/- 24h,wild-type 16h,mzKO Y2-/- 17.5h,wild-type MO 24h,mKO + MO Y2-/- 24h,wild-type MO 36h,mKO + MO Y2-/- 36h,wild-type MO 48h,mKO + MO Y2-/- 48h
LOC100000024,48.8344,46.6057,41.0156,23.9679,14.3593,2250,5,,,,,,,,,,,,,,,,35.5686,31.7439,30.271,7.10165,5.10922,24.0373,23.8361,29.1158,13.2212,7.07032,5.73915,3.21126,2.98213,2.2817,8.66743,2.91948,3.36898,4.78932,2.85642,5.24941,6.08302,5.72409,7.57187,5.64674,7.47653,8.85845
LOC100000576,4.73025,4.30186,5.46786,1.5723,1.20287,2265,5,,,,,,,,,,,,,,,,3.03277,4.72322,2.47874,1.17639,1.36162,4.87353,4.67237,4.74263,0.866762,1.57299,0.336966,0.516804,0.332878,0.55191,0.620966,0.480541,0.181177,0.7842,0.623609,0.305062,0.503777,0.731153,1.58726,1.34831,5.14366,6.1489
LOC100001344,1.30981,3.2888,2.99771,0.93975,0.150658,807,5,,,,,,,,,,,,,,,,2.31853,2.25347,0.827107,0.124722,0.117915,0.643391,1.40952,0.690109,0.761359,0,0.475735,0.160901,0.190833,0.38176,0.571379,0.162912,0.114757,0.166742,0.350121,0.598364,0.0964846,0.0409962,0.193737,0.252198,1.51558,1.18289
LOC100001444,0.794262,0.12773,0.120751,5.18521,4.33397,6126,4,,,,,,,,,,,,,,,,0.649176,0.48864,1.45786,4.18581,2.72243,0.200782,0.145971,0.257471,1.73049,0.530902,0.0000556422,0.806218,0.358806,0.35465,0.0166314,0.0000240241,0.0037101,0.0601056,0.0000436448,0.00000569069,0.135315,0.178073,0.601259,0.00926037,0.00000869073,0.0000199709
LOC100001550,0,0.0737707,0.734744,9.56555,8.04359,1009,4,,,,,,,,,,,,,,,,0,0,1.91613,6.3566,10.4694,0,0,0.372868,7.94235,11.7018,3.30602,4.00884,4.04701,5.4256,0.76503,2.53343,2.41373,3.5929,4.11799,3.09864,21.3959,16.0924,19.7471,28.3211,7.06728,9.30731
LOC100002237,1.67194,0.464527,1.00579,0.570446,0.790704,2323,2,,,,,,,,,,,,,,,,1.04082,1.56659,2.03826,0.611441,0.597417,1.14333,0.336911,1.92612,0.00949168,0.992558,0.303596,0.00319853,0.406565,1.01002,0.000164431,0.151009,0.291051,0.0000341465,0.819115,1.16186,0.0000714302,0.254334,0.227468,0.181585,0.528763,0.607869
LOC100002333,43.9151,41.3864,21.1205,15.8287,19.3222,990,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13.6959,17.7952,10.2871,11.6443,8.2435,19.6625,20.2408,13.9649,13.1555,9.66395,3.60683,5.14216,4.46473,1.9258,8.32187,7.18042,5.37186,2.37088,3.83114,4.02033,8.99372,8.16517,9.01512,11.9432,5.56142,3.8724
LOC100003286,0.973139,1.61101,0.575492,0.896036,0.47401,3063,2,,,,,,,,,,,,,,,,0.0000538451,0.0000977046,0.55742,0.187285,0.143078,0.212881,0.000338891,0.00138738,0.551378,0.0773642,0.0000117548,0.0000276774,0.0000444343,0.10021,0.200581,0,0.025773,0.258567,0.0472375,0.10613,0.0105914,0.00000155517,0.0500725,0.0356926,0.188793,0.0759126
LOC100003308,18.7877,20.8952,19.3594,8.86679,3.77902,1168,5,,,,,,,,,,,,,,,,15.8119,17.6565,13.2144,3.58976,1.55403,10.9148,12.1874,9.50038,2.4899,3.11627,2.62432,1.06879,1.14074,1.49604,3.19812,1.27645,0.628671,1.78286,1.43889,1.95719,2.3663,2.61801,2.76808,2.46448,3.066,3.27776
LOC100003647,0.388347,0,0,1.28803,0.747223,552,4,,,,,,,,,,,,,,,,0,0,0,0,0,0.102408,0,0,0,0,0,0,0,0.315771,0,0,0,0,0.0873945,0.22606,0,0,0,0,0.474564,0.436458
