tracking ID,0h,2h,4h,6h,8h,gene length,gene group
LOC100000024,48.8344,46.6057,41.0156,23.9679,14.3593,2250,5
LOC100000576,4.73025,4.30186,5.46786,1.5723,1.20287,2265,5
LOC100001344,1.30981,3.2888,2.99771,0.93975,0.150658,807,5
LOC100001444,0.794262,0.12773,0.120751,5.18521,4.33397,6126,4
LOC100001550,0,0.0737707,0.734744,9.56555,8.04359,1009,4
LOC100002237,1.67194,0.464527,1.00579,0.570446,0.790704,2323,2
LOC100002333,43.9151,41.3864,21.1205,15.8287,19.3222,990,2
LOC100003286,0.973139,1.61101,0.575492,0.896036,0.47401,3063,2
LOC100003308,18.7877,20.8952,19.3594,8.86679,3.77902,1168,5
LOC100003647,0.388347,0,0,1.28803,0.747223,552,4
LOC100003669,0.457782,1.97302,0,0,0,318,2
LOC100006053,0.917168,1.12124,0.547648,0.913217,0.545471,2062,1
LOC100006122,0.00763126,0.279051,1.00808,1.56884,3.23831,1632,3
LOC100006564,0.0725337,0.381559,4.03098,12.9441,16.8372,2425,3
LOC100006793,2.3182,0.00149786,2.94356,4.71411,13.0531,1472,3
LOC100007315,1.88786,4.11617,4.21307,0.801773,0.0000222566,1215,5
LOC100008037,0,0,0,0.726872,1.58649,462,3
LOC100141478,0.000059159,2.37439,0.0000529351,0.000244786,2.9189,541,3
LOC100141479,1.42687,1.45276,2.32097,3.32282,0.292639,472,4
LOC100148329,0.317575,0.39433,0.343297,0.38958,2.88231,1694,3
LOC100149066,0.133194,0,0.0608529,0.168046,4.26808,1673,3
LOC100149164,108.993,107.883,74.9856,42.2069,45.5837,1019,5
LOC100149189,1.17763,1.0964,0.801907,0.843218,0.959608,1314,1
LOC100149863,0.326498,0.114001,0.18992,0.280359,4.28604,966,3
LOC100150082,20.3857,22.9952,7.68954,0.457287,0.0001239,1815,2
LOC100151273,58.0458,51.2998,55.0165,17.1076,11.7658,1731,5
LOC100189617,46.8139,56.559,37.5141,38.1359,33.6553,2456,1
LOC100216314,0,0,0,0,7.88227,136,3
LOC100301575,946.05,1067.83,411.632,103.281,22.9223,638,2
LOC100329294,0,0,1.10994,23.1767,223.445,286,3
LOC100330584,14.7237,13.2385,10.1516,5.3114,0.475245,627,2
LOC100331176,5.79409,2.79811,2.58763,1.24058,0.776432,1632,2
LOC100331689,14.5348,13.8284,11.0827,2.02844,0.47323,980,2
LOC100332913,2.47182,2.43448,2.52631,2.1586,2.63916,3609,1
LOC100333064,359.874,314.464,276.257,211.467,149.822,479,5
LOC100334155,0,0,0,1.0077,1.06212,344,4
LOC100499487,100.77,74.2272,67.9669,35.5966,32.1637,347,2
LOC100500728,0.215357,0.100765,0.275508,1.23934,0.78051,797,4
LOC100534660,35.9604,33.1881,18.6802,19.245,30.5871,528,1
LOC100535473,35.8784,37.7927,36.0736,7.92805,1.83721,664,5
LOC100537295,0.11495,0.220808,0.100537,0.497911,6.68042,896,3
LOC100537897,0.229499,0.568691,0.411295,0.423115,1.07726,2136,3
LOC101882557,0,0,19.4888,79.1831,82.9188,1770,4
LOC101886520,0.83284,1.02618,2.13309,0.235096,0.860259,870,5
LOC101887004,0.264249,0.335277,0.934869,1.20669,2.00418,1108,3
LOC101887113,0.449298,0.723386,49.8128,192.543,227.649,1069,4
LOC553228,2.55119,2.06291,2.38247,0.894894,0.87412,1399,5
LOC553308,0.00331685,0.32551,0.387851,1.1641,1.85964,2568,3
LOC553495,11.7915,12.3056,12.4782,3.31076,3.42404,1773,5
LOC554386,0.0032107,0.00169964,0.00145019,6.71693,5.15651,1797,4
LOC554736,57.0178,65.8244,46.6538,44.5562,56.7904,546,1
LOC556124,49.7755,51.764,58.7999,63.566,47.74,3193,1
LOC556326,9.84094,5.65382,4.53837,1.69374,0.987656,2798,2
LOC556846,2.53518,2.80226,5.80616,81.5009,99.3074,2156,3
LOC557028,0.212201,0.212217,0.29714,2.34791,7.61982,1534,3
LOC558044,46.1173,40.9956,48.4879,66.0514,125.131,7176,3
LOC558818,0.199698,0.208473,0.477715,0.809449,1.60418,2186,3
LOC559008,1.78187,0.508213,0.663731,0.784112,0.468702,1551,2
LOC559147,2.09795,1.80413,0.899841,1.07405,1.55347,856,1
LOC560084,0.203578,0.172963,0.383316,0.766148,1.69451,2510,3
LOC560232,0.713883,0.372634,4.41511,12.7038,15.6425,2301,4
LOC561143,26.6042,31.0202,38.192,57.957,54.9534,2555,0
LOC564145,0.00612563,0.00573286,0.00814652,21.8889,0.00417652,663,4
LOC564685,4.56485,6.17754,5.93002,1.04245,1.03125,1503,5
LOC565175,21.101,17.8235,17.6054,6.01052,1.14746,3272,5
